,Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
1725,,Florida,12.0,2019.0,2019.0,Head of pancreas - Malignant neoplasms,C25.0,75-84 years,75-84,11.0,1450514.0,Unreliable
1726,,Florida,12.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,1072.0,2465369.0,43.5
1727,,Florida,12.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,75-84 years,75-84,1027.0,1450514.0,70.8
1728,,Florida,12.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,85+ years,85+,528.0,581454.0,90.8
1729,,Florida,12.0,2019.0,2019.0,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,65-74 years,65-74,30.0,2465369.0,1.2
1730,,Florida,12.0,2019.0,2019.0,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,75-84 years,75-84,30.0,1450514.0,2.1
1731,,Florida,12.0,2019.0,2019.0,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,85+ years,85+,16.0,581454.0,Unreliable
1732,,Florida,12.0,2019.0,2019.0,"Larynx, unspecified - Malignant neoplasms",C32.9,65-74 years,65-74,107.0,2465369.0,4.3
1733,,Florida,12.0,2019.0,2019.0,"Larynx, unspecified - Malignant neoplasms",C32.9,75-84 years,75-84,53.0,1450514.0,3.7
1734,,Florida,12.0,2019.0,2019.0,"Larynx, unspecified - Malignant neoplasms",C32.9,85+ years,85+,26.0,581454.0,4.5
1735,,Florida,12.0,2019.0,2019.0,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,65-74 years,65-74,29.0,2465369.0,1.2
1736,,Florida,12.0,2019.0,2019.0,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,75-84 years,75-84,27.0,1450514.0,1.9
1737,,Florida,12.0,2019.0,2019.0,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,75-84 years,75-84,16.0,1450514.0,Unreliable
1738,,Florida,12.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,3437.0,2465369.0,139.4
1739,,Florida,12.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,3332.0,1450514.0,229.7
1740,,Florida,12.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,1615.0,581454.0,277.8
1741,,Florida,12.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,65-74 years,65-74,16.0,2465369.0,Unreliable
1742,,Florida,12.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,75-84 years,75-84,17.0,1450514.0,Unreliable
1743,,Florida,12.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,85+ years,85+,14.0,581454.0,Unreliable
1744,,Florida,12.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,65-74 years,65-74,152.0,2465369.0,6.2
1745,,Florida,12.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,75-84 years,75-84,198.0,1450514.0,13.7
1746,,Florida,12.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,85+ years,85+,111.0,581454.0,19.1
1747,,Florida,12.0,2019.0,2019.0,Skin of scalp and neck - Malignant neoplasms,C44.4,65-74 years,65-74,35.0,2465369.0,1.4
1748,,Florida,12.0,2019.0,2019.0,Skin of scalp and neck - Malignant neoplasms,C44.4,75-84 years,75-84,36.0,1450514.0,2.5
1749,,Florida,12.0,2019.0,2019.0,Skin of scalp and neck - Malignant neoplasms,C44.4,85+ years,85+,33.0,581454.0,5.7
1750,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,65-74 years,65-74,40.0,2465369.0,1.6
1751,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,75-84 years,75-84,57.0,1450514.0,3.9
1752,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,85+ years,85+,67.0,581454.0,11.5
1753,,Florida,12.0,2019.0,2019.0,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,65-74 years,65-74,35.0,2465369.0,1.4
1754,,Florida,12.0,2019.0,2019.0,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,75-84 years,75-84,55.0,1450514.0,3.8
1755,,Florida,12.0,2019.0,2019.0,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,85+ years,85+,30.0,581454.0,5.2
1756,,Florida,12.0,2019.0,2019.0,"Peritoneum, unspecified - Malignant neoplasms",C48.2,65-74 years,65-74,18.0,2465369.0,Unreliable
1757,,Florida,12.0,2019.0,2019.0,"Peritoneum, unspecified - Malignant neoplasms",C48.2,75-84 years,75-84,18.0,1450514.0,Unreliable
1758,,Florida,12.0,2019.0,2019.0,"Peritoneum, unspecified - Malignant neoplasms",C48.2,85+ years,85+,11.0,581454.0,Unreliable
1759,,Florida,12.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,65-74 years,65-74,58.0,2465369.0,2.4
1760,,Florida,12.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,75-84 years,75-84,64.0,1450514.0,4.4
1761,,Florida,12.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,85+ years,85+,31.0,581454.0,5.3
1762,,Florida,12.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,65-74 years,65-74,789.0,2465369.0,32
1763,,Florida,12.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,75-84 years,75-84,664.0,1450514.0,45.8
1764,,Florida,12.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,85+ years,85+,548.0,581454.0,94.2
1765,,Florida,12.0,2019.0,2019.0,"Vulva, unspecified - Malignant neoplasms",C51.9,65-74 years,65-74,15.0,2465369.0,Unreliable
1766,,Florida,12.0,2019.0,2019.0,"Vulva, unspecified - Malignant neoplasms",C51.9,75-84 years,75-84,13.0,1450514.0,Unreliable
1767,,Florida,12.0,2019.0,2019.0,"Vulva, unspecified - Malignant neoplasms",C51.9,85+ years,85+,22.0,581454.0,3.8
1768,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of vagina,C52,75-84 years,75-84,10.0,1450514.0,Unreliable
1769,,Florida,12.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,65-74 years,65-74,63.0,2465369.0,2.6
1770,,Florida,12.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,75-84 years,75-84,42.0,1450514.0,2.9
1771,,Florida,12.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,85+ years,85+,25.0,581454.0,4.3
1772,,Florida,12.0,2019.0,2019.0,Endometrium - Malignant neoplasms,C54.1,65-74 years,65-74,159.0,2465369.0,6.4
1773,,Florida,12.0,2019.0,2019.0,Endometrium - Malignant neoplasms,C54.1,75-84 years,75-84,118.0,1450514.0,8.1
1774,,Florida,12.0,2019.0,2019.0,Endometrium - Malignant neoplasms,C54.1,85+ years,85+,63.0,581454.0,10.8
1775,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of uterus, part unspecified",C55,65-74 years,65-74,117.0,2465369.0,4.7
1776,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of uterus, part unspecified",C55,75-84 years,75-84,81.0,1450514.0,5.6
1777,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of uterus, part unspecified",C55,85+ years,85+,49.0,581454.0,8.4
1778,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,65-74 years,65-74,294.0,2465369.0,11.9
1779,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,75-84 years,75-84,280.0,1450514.0,19.3
1780,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,85+ years,85+,158.0,581454.0,27.2
1781,,Florida,12.0,2019.0,2019.0,Fallopian tube - Malignant neoplasms,C57.0,65-74 years,65-74,12.0,2465369.0,Unreliable
1782,,Florida,12.0,2019.0,2019.0,"Female genital organ, unspecified - Malignant neoplasms",C57.9,65-74 years,65-74,11.0,2465369.0,Unreliable
1783,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of prostate,C61,65-74 years,65-74,604.0,2465369.0,24.5
1784,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of prostate,C61,75-84 years,75-84,835.0,1450514.0,57.6
1785,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of prostate,C61,85+ years,85+,787.0,581454.0,135.4
1786,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,65-74 years,65-74,260.0,2465369.0,10.5
1787,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,75-84 years,75-84,291.0,1450514.0,20.1
1788,,Florida,12.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,85+ years,85+,177.0,581454.0,30.4
1789,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of ureter,C66,75-84 years,75-84,13.0,1450514.0,Unreliable
1790,,Florida,12.0,2019.0,2019.0,"Bladder, unspecified - Malignant neoplasms",C67.9,65-74 years,65-74,300.0,2465369.0,12.2
1791,,Florida,12.0,2019.0,2019.0,"Bladder, unspecified - Malignant neoplasms",C67.9,75-84 years,75-84,480.0,1450514.0,33.1
1792,,Florida,12.0,2019.0,2019.0,"Bladder, unspecified - Malignant neoplasms",C67.9,85+ years,85+,455.0,581454.0,78.3
1793,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,65-74 years,65-74,376.0,2465369.0,15.3
1794,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,75-84 years,75-84,260.0,1450514.0,17.9
1795,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,85+ years,85+,112.0,581454.0,19.3
1796,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of thyroid gland,C73,65-74 years,65-74,41.0,2465369.0,1.7
1797,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of thyroid gland,C73,75-84 years,75-84,37.0,1450514.0,2.6
1798,,Florida,12.0,2019.0,2019.0,Malignant neoplasm of thyroid gland,C73,85+ years,85+,33.0,581454.0,5.7
1799,,Florida,12.0,2019.0,2019.0,"Head, face and neck - Malignant neoplasms",C76.0,85+ years,85+,11.0,581454.0,Unreliable
1800,,Florida,12.0,2019.0,2019.0,Abdomen - Malignant neoplasms,C76.2,65-74 years,65-74,13.0,2465369.0,Unreliable
1801,,Florida,12.0,2019.0,2019.0,Abdomen - Malignant neoplasms,C76.2,75-84 years,75-84,11.0,1450514.0,Unreliable
1802,,Florida,12.0,2019.0,2019.0,Abdomen - Malignant neoplasms,C76.2,85+ years,85+,10.0,581454.0,Unreliable
1803,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,65-74 years,65-74,11.0,2465369.0,Unreliable
1804,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,65-74 years,65-74,15.0,2465369.0,Unreliable
1805,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,65-74 years,65-74,32.0,2465369.0,1.3
1806,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,75-84 years,75-84,43.0,1450514.0,3
1807,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,85+ years,85+,28.0,581454.0,4.8
1808,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,65-74 years,65-74,12.0,2465369.0,Unreliable
1809,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,75-84 years,75-84,12.0,1450514.0,Unreliable
1810,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,65-74 years,65-74,10.0,2465369.0,Unreliable
1811,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,65-74 years,65-74,83.0,2465369.0,3.4
1812,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,75-84 years,75-84,62.0,1450514.0,4.3
1813,,Florida,12.0,2019.0,2019.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,85+ years,85+,53.0,581454.0,9.1
1814,,Florida,12.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,65-74 years,65-74,527.0,2465369.0,21.4
1815,,Florida,12.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,75-84 years,75-84,541.0,1450514.0,37.3
1816,,Florida,12.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,85+ years,85+,449.0,581454.0,77.2
1817,,Florida,12.0,2019.0,2019.0,"Hodgkin disease, unspecified",C81.9,65-74 years,65-74,12.0,2465369.0,Unreliable
1818,,Florida,12.0,2019.0,2019.0,"Hodgkin disease, unspecified",C81.9,75-84 years,75-84,20.0,1450514.0,1.4
1819,,Florida,12.0,2019.0,2019.0,"Hodgkin disease, unspecified",C81.9,85+ years,85+,14.0,581454.0,Unreliable
1820,,Florida,12.0,2019.0,2019.0,"Follicular non-Hodgkin lymphoma, unspecified",C82.9,75-84 years,75-84,10.0,1450514.0,Unreliable
1821,,Florida,12.0,2019.0,2019.0,"Follicular non-Hodgkin lymphoma, unspecified",C82.9,85+ years,85+,10.0,581454.0,Unreliable
1822,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,65-74 years,65-74,31.0,2465369.0,1.3
1823,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,75-84 years,75-84,29.0,1450514.0,2
1824,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,85+ years,85+,19.0,581454.0,Unreliable
1825,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,65-74 years,65-74,59.0,2465369.0,2.4
1826,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,75-84 years,75-84,77.0,1450514.0,5.3
1827,,Florida,12.0,2019.0,2019.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,85+ years,85+,49.0,581454.0,8.4
1828,,Florida,12.0,2019.0,2019.0,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,65-74 years,65-74,23.0,2465369.0,0.9
1829,,Florida,12.0,2019.0,2019.0,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,75-84 years,75-84,24.0,1450514.0,1.7
1830,,Florida,12.0,2019.0,2019.0,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,85+ years,85+,14.0,581454.0,Unreliable
1831,,Florida,12.0,2019.0,2019.0,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,65-74 years,65-74,69.0,2465369.0,2.8
1832,,Florida,12.0,2019.0,2019.0,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,75-84 years,75-84,108.0,1450514.0,7.4
1833,,Florida,12.0,2019.0,2019.0,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,85+ years,85+,92.0,581454.0,15.8
1834,,Florida,12.0,2019.0,2019.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,65-74 years,65-74,149.0,2465369.0,6
1835,,Florida,12.0,2019.0,2019.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,75-84 years,75-84,251.0,1450514.0,17.3
1836,,Florida,12.0,2019.0,2019.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,85+ years,85+,181.0,581454.0,31.1
1837,,Florida,12.0,2019.0,2019.0,Multiple myeloma - Malignant neoplasms,C90.0,65-74 years,65-74,256.0,2465369.0,10.4
1838,,Florida,12.0,2019.0,2019.0,Multiple myeloma - Malignant neoplasms,C90.0,75-84 years,75-84,303.0,1450514.0,20.9
1839,,Florida,12.0,2019.0,2019.0,Multiple myeloma - Malignant neoplasms,C90.0,85+ years,85+,208.0,581454.0,35.8
1840,,Florida,12.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,65-74 years,65-74,22.0,2465369.0,0.9
1841,,Florida,12.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,75-84 years,75-84,23.0,1450514.0,1.6
1842,,Florida,12.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,85+ years,85+,13.0,581454.0,Unreliable
1843,,Florida,12.0,2019.0,2019.0,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,65-74 years,65-74,47.0,2465369.0,1.9
1844,,Florida,12.0,2019.0,2019.0,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,75-84 years,75-84,113.0,1450514.0,7.8
1845,,Florida,12.0,2019.0,2019.0,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,85+ years,85+,122.0,581454.0,21
1846,,Florida,12.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,65-74 years,65-74,237.0,2465369.0,9.6
1847,,Florida,12.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,75-84 years,75-84,271.0,1450514.0,18.7
1848,,Florida,12.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,85+ years,85+,132.0,581454.0,22.7
1849,,Florida,12.0,2019.0,2019.0,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,65-74 years,65-74,18.0,2465369.0,Unreliable
1850,,Florida,12.0,2019.0,2019.0,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,75-84 years,75-84,50.0,1450514.0,3.4
1851,,Florida,12.0,2019.0,2019.0,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,85+ years,85+,24.0,581454.0,4.1
1852,,Florida,12.0,2019.0,2019.0,Other myeloid leukaemia - Malignant neoplasms,C92.7,65-74 years,65-74,11.0,2465369.0,Unreliable
1853,,Florida,12.0,2019.0,2019.0,Other myeloid leukaemia - Malignant neoplasms,C92.7,75-84 years,75-84,19.0,1450514.0,Unreliable
1854,,Florida,12.0,2019.0,2019.0,Other myeloid leukaemia - Malignant neoplasms,C92.7,85+ years,85+,11.0,581454.0,Unreliable
1855,,Florida,12.0,2019.0,2019.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,65-74 years,65-74,16.0,2465369.0,Unreliable
1856,,Florida,12.0,2019.0,2019.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,75-84 years,75-84,28.0,1450514.0,1.9
1857,,Florida,12.0,2019.0,2019.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,85+ years,85+,25.0,581454.0,4.3
1858,,Florida,12.0,2019.0,2019.0,"Leukaemia, unspecified - Malignant neoplasms",C95.9,65-74 years,65-74,32.0,2465369.0,1.3
1859,,Florida,12.0,2019.0,2019.0,"Leukaemia, unspecified - Malignant neoplasms",C95.9,75-84 years,75-84,73.0,1450514.0,5
1860,,Florida,12.0,2019.0,2019.0,"Leukaemia, unspecified - Malignant neoplasms",C95.9,85+ years,85+,82.0,581454.0,14.1
1861,,Florida,12.0,2019.0,2019.0,Malignant neoplasms of independent (primary) multiple sites,C97,65-74 years,65-74,112.0,2465369.0,4.5
1862,,Florida,12.0,2019.0,2019.0,Malignant neoplasms of independent (primary) multiple sites,C97,75-84 years,75-84,138.0,1450514.0,9.5
1863,,Florida,12.0,2019.0,2019.0,Malignant neoplasms of independent (primary) multiple sites,C97,85+ years,85+,103.0,581454.0,17.7
1864,,Florida,12.0,2019.0,2019.0,"Meninges, unspecified - Benign neoplasms",D32.9,75-84 years,75-84,10.0,1450514.0,Unreliable
1865,,Florida,12.0,2019.0,2019.0,"Meninges, unspecified - Benign neoplasms",D32.9,85+ years,85+,11.0,581454.0,Unreliable
1866,,Florida,12.0,2019.0,2019.0,Other digestive organs - Uncertain neoplasms,D37.7,85+ years,85+,12.0,581454.0,Unreliable
1867,,Florida,12.0,2019.0,2019.0,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,65-74 years,65-74,14.0,2465369.0,Unreliable
1868,,Florida,12.0,2019.0,2019.0,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,75-84 years,75-84,16.0,1450514.0,Unreliable
1869,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Uncertain neoplasms",D43.2,65-74 years,65-74,15.0,2465369.0,Unreliable
1870,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Uncertain neoplasms",D43.2,75-84 years,75-84,26.0,1450514.0,1.8
1871,,Florida,12.0,2019.0,2019.0,"Brain, unspecified - Uncertain neoplasms",D43.2,85+ years,85+,23.0,581454.0,4
1872,,Florida,12.0,2019.0,2019.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,65-74 years,65-74,79.0,2465369.0,3.2
1873,,Florida,12.0,2019.0,2019.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,75-84 years,75-84,206.0,1450514.0,14.2
1874,,Florida,12.0,2019.0,2019.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,85+ years,85+,242.0,581454.0,41.6
1875,,Florida,12.0,2019.0,2019.0,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,75-84 years,75-84,32.0,1450514.0,2.2
1876,,Florida,12.0,2019.0,2019.0,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,85+ years,85+,22.0,581454.0,3.8
1877,,Florida,12.0,2019.0,2019.0,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,65-74 years,65-74,10.0,2465369.0,Unreliable
1878,,Florida,12.0,2019.0,2019.0,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,75-84 years,75-84,13.0,1450514.0,Unreliable
1879,,Florida,12.0,2020.0,2020.0,"Tongue, unspecified - Malignant neoplasms",C02.9,65-74 years,65-74,55.0,2539576.0,2.2
1880,,Florida,12.0,2020.0,2020.0,"Tongue, unspecified - Malignant neoplasms",C02.9,75-84 years,75-84,54.0,1502209.0,3.6
1881,,Florida,12.0,2020.0,2020.0,"Tongue, unspecified - Malignant neoplasms",C02.9,85+ years,85+,23.0,596309.0,3.9
1882,,Florida,12.0,2020.0,2020.0,"Mouth, unspecified - Malignant neoplasms",C06.9,65-74 years,65-74,22.0,2539576.0,0.9
1883,,Florida,12.0,2020.0,2020.0,"Mouth, unspecified - Malignant neoplasms",C06.9,75-84 years,75-84,17.0,1502209.0,Unreliable
1884,,Florida,12.0,2020.0,2020.0,"Mouth, unspecified - Malignant neoplasms",C06.9,85+ years,85+,16.0,596309.0,Unreliable
1885,,Florida,12.0,2020.0,2020.0,Malignant neoplasm of parotid gland,C07,75-84 years,75-84,16.0,1502209.0,Unreliable
1886,,Florida,12.0,2020.0,2020.0,Malignant neoplasm of parotid gland,C07,85+ years,85+,23.0,596309.0,3.9
1887,,Florida,12.0,2020.0,2020.0,"Tonsil, unspecified - Malignant neoplasms",C09.9,65-74 years,65-74,25.0,2539576.0,1
1888,,Florida,12.0,2020.0,2020.0,"Tonsil, unspecified - Malignant neoplasms",C09.9,75-84 years,75-84,17.0,1502209.0,Unreliable
1889,,Florida,12.0,2020.0,2020.0,"Oropharynx, unspecified - Malignant neoplasms",C10.9,65-74 years,65-74,42.0,2539576.0,1.7
1890,,Florida,12.0,2020.0,2020.0,"Oropharynx, unspecified - Malignant neoplasms",C10.9,75-84 years,75-84,20.0,1502209.0,1.3
1891,,Florida,12.0,2020.0,2020.0,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,65-74 years,65-74,23.0,2539576.0,0.9
1892,,Florida,12.0,2020.0,2020.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,65-74 years,65-74,38.0,2539576.0,1.5
1893,,Florida,12.0,2020.0,2020.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,75-84 years,75-84,27.0,1502209.0,1.8
1894,,Florida,12.0,2020.0,2020.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,85+ years,85+,11.0,596309.0,Unreliable
1895,,Florida,12.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,366.0,2539576.0,14.4
1896,,Florida,12.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,313.0,1502209.0,20.8
1897,,Florida,12.0,2020.0,2020.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,127.0,596309.0,21.3
1898,,Florida,12.0,2020.0,2020.0,Cardia - Malignant neoplasms,C16.0,65-74 years,65-74,21.0,2539576.0,0.8
1899,,Florida,12.0,2020.0,2020.0,Cardia - Malignant neoplasms,C16.0,75-84 years,75-84,17.0,1502209.0,Unreliable
1900,,Florida,12.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,202.0,2539576.0,8
1901,,Florida,12.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,175.0,1502209.0,11.6
1902,,Florida,12.0,2020.0,2020.0,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,133.0,596309.0,22.3
1903,,Florida,12.0,2020.0,2020.0,Duodenum - Malignant neoplasms,C17.0,65-74 years,65-74,24.0,2539576.0,0.9
1904,,Florida,12.0,2020.0,2020.0,Duodenum - Malignant neoplasms,C17.0,75-84 years,75-84,21.0,1502209.0,1.4
1905,,Florida,12.0,2020.0,2020.0,Duodenum - Malignant neoplasms,C17.0,85+ years,85+,13.0,596309.0,Unreliable
1906,,Florida,12.0,2020.0,2020.0,"Small intestine, unspecified - Malignant neoplasms",C17.9,65-74 years,65-74,13.0,2539576.0,Unreliable
1907,,Florida,12.0,2020.0,2020.0,"Small intestine, unspecified - Malignant neoplasms",C17.9,75-84 years,75-84,19.0,1502209.0,Unreliable
1908,,Florida,12.0,2020.0,2020.0,"Small intestine, unspecified - Malignant neoplasms",C17.9,85+ years,85+,10.0,596309.0,Unreliable
1909,,Florida,12.0,2020.0,2020.0,Caecum - Malignant neoplasms,C18.0,75-84 years,75-84,12.0,1502209.0,Unreliable
1910,,Florida,12.0,2020.0,2020.0,Appendix - Malignant neoplasms,C18.1,65-74 years,65-74,24.0,2539576.0,0.9
1911,,Florida,12.0,2020.0,2020.0,Sigmoid colon - Malignant neoplasms,C18.7,75-84 years,75-84,10.0,1502209.0,Unreliable
1912,,Florida,12.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,715.0,2539576.0,28.2
1913,,Florida,12.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,717.0,1502209.0,47.7
1914,,Florida,12.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,639.0,596309.0,107.2
1915,,Florida,12.0,2020.0,2020.0,Malignant neoplasm of rectosigmoid junction,C19,65-74 years,65-74,61.0,2539576.0,2.4
